date,headline,source,summary,directional_sentiment
2024-12-21,Could This Artificial Intelligence (AI) Stock Be the Next Nvidia?,Yahoo,"Broadcoms (NASDAQ: AVGO) shares surged by nearly 25% after the company posted an impressive financial performance for the fourth quarter of fiscal 2024 (ended Nov. 3).  This leading custom chip designer and infrastructure software maker has emerged as a major beneficiary of the ongoing artificial intelligence (AI) trend, especially since hyperscalers seek specialized options to improve productivity and reduce costs.  While Nvidias (NASDAQ: NVDA) general-purpose Hopper and Blackwell architecture AI chips are highly sought-after in the AI market, Broadcom has successfully created its niche.",1
2024-12-21,"Buy this AI chip stock for 2025, Jefferies told its clients",Yahoo,"Investing.com -- Jefferies named Broadcom Inc (NASDAQ:AVGO) as its top pick for 2025, given company’s strong position in the rapidly growing AI chip market, driven by demand for custom-designed chips, or ASICs.",1
2024-12-21,Morgan Stanley says strong demand for Blackwell to ‘prevail’ over Nvidia worries,Yahoo,"Morgan Stanley says the firm has “tended to be most enthusiastic” on Nvidia (NVDA) when “near-term data points appear mixed, but underlying dynamics are very strong,” which the firm thinks is a point approaching now. Anxieties the market is wrestling with include that prior generation Hopper builds continue to slow, that not every version of new Blackwell products is ready to ship at the same time, and Marvell (MRVL) and Broadcom (AVGO) projecting strong longer term growth in Application-Specifi",0
2024-12-21,"Investors Looking To Durable Goods, New-Home Sales Data As Earnings Season Winds Down",SeekingAlpha,"Investors will be looking to durable goods, new-home sales data and earnings season winds down.",0
2024-12-21,Broadcom Leads J.P. Morgans Top Technology Stocks for 2025,Yahoo,J.P. Morgan analysts highlighted technology stocks poised for growth in 2025.,1
2024-12-22,"Down 15%, Is Nvidia Stock a Buy Now?",Yahoo,Theres no question that Nvidia (NASDAQ: NVDA) has been the leader of the artificial intelligence (AI) revolution thus far.  Nvidias strength was on display in its latest earnings report as the company delivered another round of blowout results.  Nvidia stock started to slide even as the broad market continued to gain as investors seemed to believe that the valuation had again become too inflated.,0
2024-12-23,Hartford Growth Opportunities Fund Q3 2024 Commentary,SeekingAlpha,"The Hartford Growth Opportunities Fund (I Share) underperformed the Russell 3000 Growth Index during the quarter, however delivered overall positive returns. Read more here.",0
2024-12-23,"Dow trims loss, while chip stocks buoy S&P 500",MarketWatch,"Dow trims loss, while chip stocks buoy S&P 500",0
2024-12-23,2 Stock-Split Stocks Billionaires Are Piling Into for 2025,Yahoo,Two of Wall Streets hottest artificial intelligence (AI) stocks are on the buy list for some of Wall Streets top money managers.,1
2024-12-23,AI Boom: Broadcom Targets Nvidias Crown with Surging Revenue and Big Tech Partnerships,Yahoo,Blue Whale Growth Funds Stephen Yiu highlights Broadcoms AI-driven potential amid Big Techs chip diversification,1
2024-12-24,Is This Nancy Pelosis Stock Pick Set To Overtake Nvidia? AI Chip Race To Heat Up By 2025,Yahoo,"Fund manager Stephen Yiu of Blue Whale Growth Fund has forecasted that Broadcom Inc. (NASDAQ:AVGO) will yield substantial returns for investors by 2025, potentially surpassing AI chip heavyweight Nvidia Corporation (NASDAQ:NVDA). What Happened: Yiu ...",1
2024-12-25,"Meet the Magnificent Vanguard ETF With 37.6% of Its Portfolio Invested in Nvidia, Apple, and Microsoft",Yahoo,"This chart features all eight American technology stocks with valuations of $1 trillion or more, and their respective returns in 2024 so far.  Buying an exchange-traded fund (ETF) with a high level of exposure to those trillion-dollar market leaders might be a simpler option for investors compared to buying them individually.  The Vanguard Mega Cap Growth ETF (NYSEMKT: MGK) offers exactly that -- more than one-third of the entire value of its portfolio is tied up in just three of the names in the chart.",0
2024-12-25,History Says the Nasdaq Will Soar in 2025. 1 Stock-Split Stock to Buy Before It Does.,Yahoo,This semiconductor and data center player has grown like wildfire over the past couple of years and shows no signs of slowing.,1
2024-12-25,Dow Jones Futures: Markets Closed After Santa Left Gifts; Tesla Surges,DowJones,Dow Jones Futures: Markets Closed After Santa Left Gifts; Tesla Surges,0
2024-12-26,Why Nvidia bulls shouldn’t fear Amazon and Broadcom,Yahoo,"Nvidia has trounced rivals when it comes to AI. But could the chip giant be at risk of losing its crown? Yahoo Finance Executive Editor Brian Sozzi asked Bank of America chip analyst Vivek Arya to walk through whether or not Nvidia (NVDA) investors should be afraid of Amazon (AMZN) and Broadcom (AVGO) taking too much of the pie. The short answer? No. The long answer? When you look at Nvidias market share, it is 80-85% in the next 12-18 months, he explains. Of course, he cautions that changes are always possible, so staying diligent about your investments is key. For full episodes of Opening Bid, listen on your favorite podcast platform or watch on our website. This post was written by Rachael Lewis-Krisky, producer for Opening Bid.",0
2024-12-26,Missed Out on Palantirs Run-Up? My Best Artificial Intelligence (AI) Stock to Buy and Hold.,Yahoo,"Palantir Technologies (NASDAQ: PLTR) stock has been on a tearing run on the market in 2024, logging remarkable gains of 370% as of this writing.  Popularly known as TSMC, shares of this Taiwan-based foundry giant nearly doubled in 2024.  Lets examine the reasons TSMC is one of the best AI stocks you can buy and hold right now.",1
2024-12-27,Arm Holdings Stock Scores IBD Rating Upgrade,Yahoo,"Arm Holdings ADR shows rising price performance, earning an upgrade to its IBD Relative Strength Rating",0
2024-12-27,3 Semiconductor Stocks with All-Star Potential,Yahoo,"Semiconductors are the driving force behind the digital revolution. Despite this, the industry is subject to the ups and downs of the broader economy because customers often stockpile chips ahead of demand, and investors seem to believe the market is overheated as semiconductor stocks have shed 8% over the past six months. This drop is a noticeable divergence from the S&P 500’s 10.1% return.",0
2024-12-28,Broadcom Stock Drops as Chip Stocks Slide. Is the AI Trade Ending?,Yahoo,"Semiconductor stocks generally move together in tandem with the cyclical nature of the business.  There were five stocks driving semiconductor performance in 2024: Nvidia,  Broadcom Taiwan Semiconductor Manufacturing Marvell  and Arm.  “Investors are reconsidering their projections for semi companies as AI technology starts to mature and investors start to understand the limitations of the technology,” D.A. Davidson analyst Gil Luria told Barron’s. “If the frontier LLMs are hitting their limits and smaller models are getting better, the likelihood of the great data center buildout to continue beyond 2025 looks less likely.”",0
2024-12-29,1 Unstoppable Semiconductor ETF to Buy for the 2025 Artificial Intelligence (AI) Spending Boom,Yahoo,"Artificial intelligence (AI) could be the most transformational technology in a generation.  The technology will only improve over time, but development isnt cheap because it requires enormous data centers filled with specialized chips from suppliers like Nvidia.  Morgan Stanley predicts that Microsoft, Amazon, Alphabet, and Meta Platforms alone will spend a combined $300 billion on AI data center infrastructure and chips during 2025.",0
2024-12-31,"Chevron, Kimberly-Clark Among 15 Companies To Announce Dividend Increases In January",SeekingAlpha,"Get the scoop on upcoming dividend increases from companies with long-term growth histories, including modest increases from Chevron and Kimberly-Clark in...",0
2025-01-01,Top Broadcom Executives Offload Millions in Shares; Stock Slides,Yahoo,Insider Sales Raise Questions as Broadcom Shares Drop,-1
2025-01-01,"Broadcoms chips, network will drive growth in 2025: Analyst",Yahoo,"Big Tech has dominated investor portfolios with significant gains, but Broadcom (AVGO) has emerged as a standout performer in 2024. WestEnd Capital Management senior equity analyst Ali Mogharabi joins hosts Julie Hyman and Jared Blikre on Market Domination to discuss his outlook for the semiconductor company in the coming year. Mogharabi explains that the artificial intelligence trade is shifting from training to inference capabilities, which will mean a stronger focus on determining what to do with new data and how to interpret it. This transition requires more specialized chips, positioning Broadcom to capitalize on the trend. Mogharabi points out that these chips will require increased network infrastructure to be effective, noting that Broadcom is one of the main players on the network/connectivity side of it, too. Opportunities for Broadcom itself to generate revenues are going to be growing from around 15 to 20 billion currently to 60 to 90 billion through 2027, Mogharabi tells Yahoo Finance. That represents enormous growth opportunities for these guys to take advantage of. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Angel Smith",1
2025-01-01,Palantir Is 2024s S&P 500 King. These 9 Stocks Also Had Huge Gains.,DowJones,Palantir Is 2024s S&P 500 King. These 9 Stocks Also Had Huge Gains.,0
2025-01-02,Robot Wars: Nvidia Vs. Tesla,SeekingAlpha,"Despite Nvidias relatively strong position, the company still faces major challenges on its way to become the preeminent AI robotics company. Explore more details here.",0
2025-01-02,Why Nvidia shouldn’t sweat AI chip rivals like Amazon and Broadcom,Yahoo,"In the upstarts vs. legacy names battle, bet on the upstarts, says this analyst.",0
2025-01-02,2 No-Brainer AI Stocks to Buy in January 2025,Yahoo,These technology giants can prove to be excellent long-term picks in January 2025.,1
2025-01-03,VONG: Time To Take Some Gains,SeekingAlpha,"Vanguard Russell 1000 Growth Index Fund ETF holds 394 large- and mid-cap stocks, heavily concentrated in technology and top holdings. Explore more details here.",0
2025-01-03,How AI Will Redefine Broadcom In 2025,SeekingAlpha,"Broadcom achieved $51.6B in FY24 revenue, driven by VMware integration and 44% YoY growth. Click here to find out why AVGO stock is a Buy.",1
2025-01-03,"AI infrastructure, compute: Ben Bajarins 2025 Big Tech predictions",Yahoo,"As the AI trade welcomes a variety of new participants and infrastructure components in 2025, Creative Strategies CEO and Principal Analyst Ben Bajarin shares several of his Big Tech predictions for this year with Asking for a Trends Josh Lipton. Bajarin names several of the typical players in the AI semiconductor space contributing to infrastructure, namely Nvidia (NVDA), Broadcom (AVGO), Advanced Micro Devices (AMD), and Marvell Technology (MRVL). A ton of growth still going on the infrastructure side, so I imagine that that that will continue, Bajarin states. Were going to continue to see a tremendous amount of demand for compute, thats not going away. But I think what Im looking for in 2025 is the software monetization of those stocks. Bajarin also weighs in on the reported boost in productivity from executives after deploying AI agents across several industries, as well as what is to be expected on cloud computing spend and Apples (AAPL) AI-enabled computers and smart devices. To watch more expert insights and analysis on the latest market action, check out more Asking for a Trend here. This post was written by Luke Carberry Mogan.",1
2025-01-03,The AI Arms Race: Can Broadcom (AVGO) Compete with Nvidia?,Yahoo,"We recently published a list of Wall Street Is Focusing on These 10 AI Stocks as New Year Begins. In this article, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against other stocks Wall Street is focusing on as the new year begins. Dan Niles, Niles Investment Management founder, recently […]",1
2025-01-03,The 1 Tech Stock That’s Actually a Bargain,Yahoo,"A new entrant in the Big Tech club of stocks means it’s time for a new name to describe tech’s largest companies.  What was once FANG, and then FAANG, FAMANG, and most recently Magnificent Seven, is now best labeled as BATMMAAN.  The new group consists of  Broadcom Apple Tesla Microsoft Meta Platforms Alphabet Amazon  and  Nvidia  All of them carry market values above $1 trillion.",0
2025-01-05,3 problems for the stock price of Nvidia rival AMD,Yahoo,AMDs stock has hit the skids. Will it come out of hibernation soon?,0
2025-01-05,Is Broadcom Inc. (NASDAQ:AVGO) the Hottest Large-Cap Stock Right Now?,Yahoo,"We recently compiled a list of the 10 Hottest Large-Cap Stocks Right Now. In this article, we are going to take a look at where Broadcom Inc. (NASDAQ:AVGO) stands against the other large-cap stocks. This article will analyze several prominent large-cap stocks that are currently exerting significant influence on market dynamics. These stocks are currently considered […]",0
2025-01-06,2025 Investment Playbook: How Im Setting Up My 6-Digit Portfolio For Outperformance,SeekingAlpha,"With a 31.1% gain, 2024 has proven to be my most successful investing year. Read more to see what I expect from 2025.",0
2025-01-06,VYM: Long-Term Value Opportunity,SeekingAlpha,"Vanguard High Dividend Yield ETF is well-diversified, primarily investing in large-cap, dividend-growing stocks. See why VYM is a Buy.",0
2025-01-06,"Broadcom: Vulnerable To Bearish Reversals (Technical Analysis, Rating Downgrade)",SeekingAlpha,"Broadcoms debt-equity ratio remains a concern, though improvements have been made. Click here to read why Ive downgraded AVGO stock to Hold.",-1
2025-01-06,"Marvell Technology: Buy, Sell, or Hold?",Yahoo,"One of the biggest semiconductor sector winners last year was Marvell Technology (NASDAQ: MRVL), up 83%.  Unsurprisingly, this was due to its burgeoning artificial intelligence chip business.  Marvell has a smaller but similar portfolio to Broadcoms (NASDAQ: AVGO) semiconductor business, which is a collection of ASICs (application specific integrated chips) that cloud giants use to create their own custom AI accelerators, networking chips and digital signal processors for AI data centers, and other less-attractive non-AI chip segments in broadband and telecom equipment, consumer electronics, and a small automotive chip business.",0
2025-01-06,The AI Bull Market Will Continue In 2025,SeekingAlpha,"AI and chip innovation create a virtuous cycle. Read why Big Tech, including Nvidia and AMD, are poised to lead in AI infrastructure investments.",0
2025-01-06,Why Broadcom Stock Soared 44% in December,Yahoo,"Shares of the semiconductor company Broadcom (NASDAQ: AVGO) soared last month after the companys fourth-quarter financial results surpassed Wall Streets expectations.  Broadcom is a leader in application-specific integrated circuits (ASICs) used in artificial intelligence (AI) data center infrastructure.  Broadcoms shares jumped by 43% in December, according to data provided by S&P Global Market Intelligence, as investors cheered the companys top- and bottom-line results in the quarter.",1
2025-01-06,Nvidia Investors Look to Huang CES Speech to Spark Next Breakout,Yahoo,"(Bloomberg) -- Nvidia Corp. investors have high hopes that Monday’s speech from CEO Jensen Huang will spark a fresh breakout in the chipmaker’s shares, which have plateaued since November after roaring higher for much of 2024.Most Read from BloombergIs This Weird Dome the Future of Watching Sports?NYC Congestion Pricing to Take Effect After Years of DelaysDon’t Shrink the BusNYC Congestion Pricing Takes Effect After Years of DelaysCan American Drivers Learn to Love Roundabouts?Huang is set to ta",0
2025-01-06,Broadcom: $1 Trillion Valuation Could Just Be The Start (Technical Analysis),SeekingAlpha,"Broadcom is moderately overvalued despite solid fundamentals, as the P/FCF ratio seems to be a bit overly rich now. See why AVGO stock is a Buy.",1
2025-01-07,Spotting Winners: Broadcom (NASDAQ:AVGO) And Processors and Graphics Chips Stocks In Q3,Yahoo,"Quarterly earnings results are a good time to check in on a company’s progress, especially compared to its peers in the same sector. Today we are looking at Broadcom (NASDAQ:AVGO) and the best and worst performers in the processors and graphics chips industry.",0
2025-01-07,"Why AI Chip Stocks Broadcom, Marvell, and Arm Holdings Rallied Again Today",Yahoo,"AI-related chip stocks sold off a bit during the last couple of weeks of 2024, but they got a lift Friday on signs of strong AI chip demand.  On Monday morning, Hon Hai Precision (OTC: HNHPF), also known as Foxconn, released its latest monthly revenue figures.",1
2025-01-07,Broadcoms President Offloads $9.28 Million in Stock as Shares Hit 52-Week High,Yahoo,Broadcom Insider Sale: President Charlie Kawwas Sells $9.28 Million in Shares,-1
2025-01-07,"Top Stocks for AI Exposure in 2025: PLTR, AVGO, NVDA",Yahoo,"In 2025, the artificial intelligence (AI) theme is looking to be powerful yet again thanks to snowballing demand. And these three stocks will keep investors riding the wave.",1
2025-01-07,Is Broadcom Inc. (AVGO) a Solid Growth Stock? 3 Reasons to Think Yes,Yahoo,"Broadcom Inc. (AVGO) possesses solid growth attributes, which could help it handily outperform the market.",1
2025-01-08,"The Zacks Analyst Blog Highlights Taiwan Semiconductor Manufacturing, Qualcomm, International Business Machines, Broadcom and Marvell Technology",Yahoo,"Taiwan Semiconductor Manufacturing, Qualcomm, International Business Machines, Broadcom and Marvell Technology are part of the Zacks top Analyst Blog.",1
2025-01-08,AMD Stock Slumps After Downgrade. Why It’s Trailing in the AI Chips Race.,MarketWatch,AMD Stock Slumps After Downgrade. Why It’s Trailing in the AI Chips Race.,0
2025-01-08,6 December Raises And A 6.18% Portfolio Yield,SeekingAlpha,"The income-focused RIG portfolio gained 14.71% in 2024, with a 6.3% yield heading into 2025. Click here to find out more about RIG portfolio.",0
2025-01-08,"Prediction: This Artificial Intelligence (AI) Company Will Join Nvidia, Alphabet, Tesla, Amazon, Apple, and Broadcom as the Next Trillion-Dollar Stock-Split Stock",Yahoo,"Among these companies, Apple, Nvidia, Alphabet, Amazon, Tesla, and Broadcom completed stock splits in recent years.  Besides each of these companies playing a pioneering role in the artificial intelligence (AI) revolution, each had big run-ups in their respective share prices before splitting their stocks.",1
2025-01-08,This Stock-Split Stock Is Up 40% in a Month. Is It Too Late to Buy?,Yahoo,"Few stocks had an end to 2024 like Broadcom (NASDAQ: AVGO).  In November, Broadcom had already crossed the $800 billion mark.  After the stocks recent surge, many might wonder if it can keep the momentum going in 2025.",1
2025-01-09,Astera Labs: The Switzerland Of AI Networks Defying Status Quo,SeekingAlpha,Astera Labs excels in AI networking with innovative products but its high valuation warrants a Neutral rating.,0
2025-01-10,ClearBridge Appreciation Strategy Q4 2024 Commentary,SeekingAlpha,"The Strategy outperformed its benchmark during a volatile quarter, as strong contributions from our financials and energy holdings overcame detractors in consumer staples.",0
2025-01-10,Better AI Growth Buy for 2025: Nvidia vs Broadcom,Yahoo,"Artificial intelligence (AI) stocks led the market higher last year as investors bet on the potential of this technology to revolutionize many industries -- and our daily lives.  The S&P 500 index climbed 23% and the Nasdaq advanced 28%, led by AI players.  Data centers are building out infrastructure -- Nvidia chief Jensen Huang says $1 trillion of outdated computers worldwide need to be updated for accelerated computing.",1
2025-01-10,AMD Stock Downgraded. Goldman Names This Surprise Among AI Chip Picks for 2025.,Yahoo,"The semiconductor maker has underperformed peers amid a contrast between the haves and the have-nots in the chip sector, the bank says.",0
2025-01-11,TDIV: Caught In The Middle,SeekingAlpha,Article discusses the concentrated holdings and low yield of First Trust NASDAQ Technology Dividend Index Fund (TDIV) for dividend and tech ETF investors.,0
2025-01-11,"Despite Struggles, Palantir Secures Spot Among 25 Perfect Stocks",Yahoo,"Palantir, Netflix and three high-flying apps maintain their spot among 25 highly rated stocks in the top-ranked industries.",0
2025-01-11,"Why Oracle, Arm, and Other Artificial Intelligence (AI) and Semiconductor Stocks Tanked on Friday",Yahoo,The advent of AI has sent the semiconductor industry into overdrive over the past year. Volatility is part of the price of admission.,0
2025-01-14,Nvidia Stock Gains. It Faces This Headache Alongside AI Chip Export Restrictions.,MarketWatch,Nvidia Stock Gains. It Faces This Headache Alongside AI Chip Export Restrictions.,0
2025-01-15,ClearBridge Large Cap Growth Fund Q4 2024 Commentary,SeekingAlpha,"Fund carefully manages its mega-cap exposure to promote diversification, control risk and promote long-term consistency, making it difficult to keep pace when the index is up 30%.",0
2025-01-15,Nvidia Stock Gains. Why This Analyst Is Lowering Estimates for the AI Chip Maker.,MarketWatch,Nvidia Stock Gains. Why This Analyst Is Lowering Estimates for the AI Chip Maker.,0
2025-01-15,Broadcom Launches the Industry’s Lowest Latency and Highest Efficiency SAN Switch for Rack-Based Infrastructure,Finnhub,"PALO ALTO, Calif., Jan. 15, 2025 -- Broadcom Inc. , today announced the availability of the Brocade G710 24-port 64G switch, the industry’s most responsive and efficient top-of-rack SAN switch....",1
2025-01-16,Nvidia Stock Rises. This Is Boosting AI Chip Optimism for 2025,MarketWatch,Nvidia Stock Rises. This Is Boosting AI Chip Optimism for 2025,0
2025-01-16,"Broadcom, Amazon, banks among portfolio managers 2025 stock picks",Finnhub,"STORY: Really, our Number One idea [for stocks] is investment banks, Hatfield said, citing Goldman Sachs and Morgan Stanley as his top picks. While Hatfields AI plays include Broadcom...",1
2025-01-16,"Broadcom, IBD Stock Of The Day, Showing Strength After Breakout",DowJones,"Broadcom, IBD Stock Of The Day, Showing Strength After Breakout",1
2025-01-16,Chip stocks lead S&P 500 gainers after upbeat AI talk from TSMC,MarketWatch,Chip stocks lead S&P 500 gainers after upbeat AI talk from TSMC,0
2025-01-17,Beware Rotation - S&P 500 Top 10 Stocks YTD Performance; Top 10 Client Holdings,SeekingAlpha,"YTD through January 15, 2025, none of the top 3 names by market cap (Microsoft, Nvidia, Apple) are beating the S&P 500. Read more here...",0
2025-01-17,Starboard Builds Big Stake in Chip Maker Qorvo,DowJones,Starboard Builds Big Stake in Chip Maker Qorvo,0
2025-01-20,BUZZ Investing: Markets React To Fed Rate Cut As Renewed Inflation Risks Emerge,SeekingAlpha,"Markets recently faced volatility driven by Fed cuts, resilient economic data, and persistent inflation concerns, leading to subdued sentiment. Click to read.",0
2025-01-20,ClearBridge Appreciation ESG Strategy Q4 2024 Commentary,SeekingAlpha,The ClearBridge Appreciation ESG Strategy outperformed the benchmark S&P 500 Index in the fourth quarter of 2024. Click here to read the full commentary.,0
2025-01-21,Intel Gets The Elon Musk Premium; Buyout Outcomes Discussed,SeekingAlpha,"Intel stock surged on rumors of a potential buyout involving Elon Musk, suggesting a 20%-30% premium. Click here to read more on the possible INTC buyout.",0
2025-01-21,Nvidia Stock Rises After Trump Revokes AI Order. What It Means for Chip Makers.,MarketWatch,Nvidia Stock Rises After Trump Revokes AI Order. What It Means for Chip Makers.,0
2025-01-21,5 Ideal Buys From 14 Safer January Dividends On Bloomberg 2025 Watch List Of 50,SeekingAlpha,"Bloomberg Intelligence analysts identified 50 watchable firms for 2025, focusing on catalysts like new leadership and more. Click here for more information.",0
2025-01-22,Harding Loevner Global Equity Q4 2024 Report,SeekingAlpha,"The Global Equity composite fell 0.86% gross of fees in the fourth quarter, in line with the 0.89% decline of the MSCI ACWI Index.",0
2025-01-22,Polen Focus Growth Portfolio Q4 2024 Commentary,SeekingAlpha,"In the fourth quarter of 2024, the Polen Focus Growth Portfolio returned 4.88% gross of fees, and 4.65% net of fees. Read more here.",0
2025-01-23,"How To Build A $100,000 Dividend Portfolio: SCHD As The Core For Income And Growth",SeekingAlpha,"SCHD ETF effectively combines dividend income and dividend growth, while offering investors a reduced Expense Ratio. Click here to read why SCHD is a Strong Buy.",0
2025-01-23,"As Nvidia’s stock gains, one analyst shows why Stargate could be so significant",MarketWatch,"As Nvidia’s stock gains, one analyst shows why Stargate could be so significant",0
2025-01-24,Broadcom: Where AI And Hyperscalers Converge,SeekingAlpha,"Broadcom shows strong growth in AI, software, and hardware, with robust financial performance and strategic acquisitions, making it a promising investment. Read more here.",1
2025-01-24,"Nvidia Stock Rises to End a Big Week for AI. Trump, Stargate Fuel Chips Hope.",MarketWatch,"Nvidia Stock Rises to End a Big Week for AI. Trump, Stargate Fuel Chips Hope.",0
2025-01-24,"Dow Jones Futures: S&P 500 Hits High; New Tesla Model Y Launches In U.S., Europe",DowJones,"Dow Jones Futures: S&P 500 Hits High; New Tesla Model Y Launches In U.S., Europe",0
2025-01-25,"Stock Market Today: Indexes Close Near Days Lows; Nvidia Ends Winning Streak, Tesla Reverses Lower (Live Coverage)",DowJones,"Stock Market Today: Indexes Close Near Days Lows; Nvidia Ends Winning Streak, Tesla Reverses Lower (Live Coverage)",0
2025-01-27,"Chart Of The Week: 3 Charts, One Market Take In Wake Of DeepSeek Plunge",SeekingAlpha,DeepSeek shared details on its AI model that compares favorably to US ones at a fraction of the cost. Investors are questioning the sustainability of AI tech spending and dumping Mag7 stocks,0
2025-01-28,Seeking Perspective On DeepSeek,SeekingAlpha,A Chinese AI start-up claimed its large-language model needs far less computing power than established models. Read more here.,0
2025-01-28,Palantir and Vistra Stocks Rise as Vertiv Slides. The AI Trade Might Not Be Over.,MarketWatch,Palantir and Vistra Stocks Rise as Vertiv Slides. The AI Trade Might Not Be Over.,1
2025-01-28,The End of American Exceptionalism? How DeepSeek Could Shatter the US Stock Market.,MarketWatch,The End of American Exceptionalism? How DeepSeek Could Shatter the US Stock Market.,0
2025-01-28,"Semiconductor ETFs decline, extending Monday’s selloff",MarketWatch,"Semiconductor ETFs decline, extending Monday’s selloff",0
2025-01-28,"These Stocks Moved the Most Today: Nvidia, Broadcom, GE Vernova, Vistra, AT&T, SoFi, Akero, Tesla, and More",MarketWatch,"These Stocks Moved the Most Today: Nvidia, Broadcom, GE Vernova, Vistra, AT&T, SoFi, Akero, Tesla, and More",0
2025-01-28,DeepSeek Won’t Sink U.S. AI Titans,DowJones,DeepSeek Won’t Sink U.S. AI Titans,0
2025-01-28,Broadcom: DeepSeek Selloff Creates A Perfect Buying Opportunity (Upgrade),SeekingAlpha,"Broadcoms AI revenue is resilient to trade wars and sanctions, unlike Nvidia, making it a better investment in the current climate. Read more about AVGO stock here.",1
2025-01-28,Broadcom Stock: A Golden Buying Opportunity On The DeepSeek Drama,SeekingAlpha,"Broadcom Inc.s strong stock gains, dividend growth, and strategic acquisitions make it a long-term investment opportunity. Learn more on AVGO stock here.",1
2025-01-28,"As Nvidia Stock Rises, Here’s Why DeepSeek AI Worries Are Overblown",MarketWatch,"As Nvidia Stock Rises, Here’s Why DeepSeek AI Worries Are Overblown",0
2025-01-28,"As DeepSeek Ravages Nvidia, This AI Stock Conjures A Breakout",DowJones,"As DeepSeek Ravages Nvidia, This AI Stock Conjures A Breakout",0
2025-01-28,"Nvidia, AI Chip Peers Tumble On DeepSeek Implications",DowJones,"Nvidia, AI Chip Peers Tumble On DeepSeek Implications",-1
2025-01-30,Franklin Rising Dividends SMA Q4 2024 Commentary,SeekingAlpha,"US equities collectively rose in the fourth quarter of 2024, with the S&P 500 Index reaching new record highs. Read more here.",0
2025-01-30,Nvidia Stock Falls. What Microsoft and Meta Earnings Mean for the AI Chip Maker.,MarketWatch,Nvidia Stock Falls. What Microsoft and Meta Earnings Mean for the AI Chip Maker.,-1
2025-01-30,Why DeepSeeks Progress May Actually Be Good News For AI Chipmakers,DowJones,Why DeepSeeks Progress May Actually Be Good News For AI Chipmakers,1
2025-01-30,Broadcom Stock Gains. Why the AI Chip Maker Got a Boost From Meta.,MarketWatch,Broadcom Stock Gains. Why the AI Chip Maker Got a Boost From Meta.,1
2025-02-01,"DeepSeek Crashes The AI Party: Story Break, Change Or Shift?",SeekingAlpha,DeepSeeks abrupt entry into the AI conversation has the potential to change the AI narrative. Read more here.,0
2025-02-01,"5 Relatively Secure And Cheap Dividend Stocks, Yields Upto 8% (February 2025)",SeekingAlpha,See top dividend-paying stock picks offering discounts and yields ranging from 3.67% to 8% in our monthly article for conservative investors. Click for the picks.,0
2025-02-02,"Market Outlook: Valuations Get Higher, And So Does Our Income",SeekingAlpha,"There isnt a lot of room for valuations to go up more, leading to lower future returns for investors. Read more to see my thoughts.",0
2025-02-04,Stocks That May Benefit From An AI Evolution This Year,SeekingAlpha,"Tech stocks are in focus as many of the bellwethers report results, but also because of the potential impact of DeepSeek on the AI sector. Morningstar Researchs David Sekera discusses.",1
2025-02-04,Horizon Kinetics Q4 2024 Commentary,SeekingAlpha,Horizon Kinetics have published their Q4 2024 Commentary. Howâd we do? Howâd the market do? What to expect now? Click here to find out.,0
2025-02-04,Baron Opportunity Fund Q4 2024 Shareholder Letter,SeekingAlpha,"Baron Opportunity Fund increased in the fourth quarter of 2024, outperforming its benchmark, the Russell 3000 Growth Index.",0
2025-02-04,Baron Durable Advantage Fund Q4 2024 Shareholder Letter,SeekingAlpha,"Baron Durable Advantage Fund advanced during the fourth quarter of 2024, outpacing its benchmark, the S&P 500 Index.",0
2025-02-05,Stock Market Today: Dow Jones Gains As Nvidia Rises; Google Dives On Massive AI Spending Plan (Live Coverage),DowJones,Stock Market Today: Dow Jones Gains As Nvidia Rises; Google Dives On Massive AI Spending Plan (Live Coverage),0
2025-02-05,"Nvidia Stock Rises. Why AMD, Alphabet Earnings Are Boosting the AI Chip Maker.",MarketWatch,"Nvidia Stock Rises. Why AMD, Alphabet Earnings Are Boosting the AI Chip Maker.",1
2025-02-05,Franklin Income SMA Q4 2024 Commentary,SeekingAlpha,US stocks collectively rose in the fourth quarter of 2024 despite retreating in December. Read more here.,0
2025-02-06,The Golden Age Of Customized AI Chips,SeekingAlpha,"Nvidiaâs AI GPUs have long been the standard for training large-language AI models in centralized data centers, thanks to their immense computational power and parallel-processing chops.",0
2025-02-06,Tracking William Von Muefflings Cantillon Capital Management Portfolio - Q4 2024 Update,SeekingAlpha,William von Muefflingâs 13F portfolio value increased to $16.55B. Check out the holdings of Cantillon Capital Management Portfolio here.,0
2025-02-06,Skyworks Stock Crashes as ‘Nightmare’ Becomes Reality. Why Apple Is to Blame.,MarketWatch,Skyworks Stock Crashes as ‘Nightmare’ Becomes Reality. Why Apple Is to Blame.,-1
2025-02-06,"Dow Jones Futures Rise; AI Chip Leader Arm Falls, Tesla Skids As Rival Soars",DowJones,"Dow Jones Futures Rise; AI Chip Leader Arm Falls, Tesla Skids As Rival Soars",-1
2025-02-07,Why Microchip would rather borrow money to pay its high dividend than cut it,MarketWatch,Why Microchip would rather borrow money to pay its high dividend than cut it,0
